research_domain_en,research_domain_de,research_domain_fr,research_domain_en_short,research_domain_de_short,research_domain_fr_short,year,key_term,count
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,data science,0
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,deep learning,0
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,expert system,0
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,generative adversarial net,0
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,gesture recognition,0
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,image recognition,0
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,image segmentation,0
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,intelligent machine,0
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,kernel machine,0
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,machine intelligence,0
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,machine translation,0
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,meta learning,0
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,multilayer perceptron,0
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,object identification,0
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,pose estimation,0
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,semantic search,0
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,sentiment analysis,0
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,speech recognition,0
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,text classification,0
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,transfer learning,0
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,transformer net,0
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,voice recognition,0
Life Sciences,Lebenswissenschaften,Sciences de la vie,LS,LW,SV,2011,pattern recognition,0
Life Sciences,Lebenswissenschaften,Sciences de la vie,LS,LW,SV,2011,neural net,0
Life Sciences,Lebenswissenschaften,Sciences de la vie,LS,LW,SV,2011,reinforcement learning,2
Life Sciences,Lebenswissenschaften,Sciences de la vie,LS,LW,SV,2011,data mining,1
Life Sciences,Lebenswissenschaften,Sciences de la vie,LS,LW,SV,2011,machine learning,1
Life Sciences,Lebenswissenschaften,Sciences de la vie,LS,LW,SV,2011,supervised learning,1
Life Sciences,Lebenswissenschaften,Sciences de la vie,LS,LW,SV,2011,voice recognition,0
Life Sciences,Lebenswissenschaften,Sciences de la vie,LS,LW,SV,2011,artificial intellig,0
Life Sciences,Lebenswissenschaften,Sciences de la vie,LS,LW,SV,2011,automated reasoning,0
